,离职人数,疫情等级,月份,lunar_year,lunar_month,lunar_day,离职人数比,前一天在职人数,前一天离职人数
2021-01-02,0.0,1,1,2020,11,19,0.0,31249,0.0
2021-01-03,0.0,1,1,2020,11,20,0.0,31345,0.0
2021-01-04,180.0,1,1,2020,11,21,0.0,31421,0.0
2021-01-05,121.0,1,1,2020,11,22,0.005750982459503499,31299,180.0
2021-01-06,113.0,1,1,2020,11,23,0.0038727435667648188,31244,121.0
2021-01-07,353.0,1,1,2020,11,24,0.003621910958684573,31199,113.0
2021-01-08,225.0,1,1,2020,11,25,0.011413605794102432,30928,353.0
2021-01-09,162.0,1,1,2020,11,26,0.007313505607020965,30765,225.0
2021-01-10,0.0,1,1,2020,11,27,0.00528065714844514,30678,162.0
2021-01-11,215.0,1,1,2020,11,28,0.0,30720,0.0
2021-01-12,122.0,1,1,2020,11,29,0.007048024913948533,30505,215.0
2021-01-13,97.0,1,1,2020,12,1,0.004003412745291068,30474,122.0
2021-01-14,193.0,1,1,2020,12,2,0.0031868059662264274,30438,97.0
2021-01-15,298.0,1,1,2020,12,3,0.00636963696369637,30300,193.0
2021-01-16,151.0,1,1,2020,12,4,0.00990296424298817,30092,298.0
2021-01-17,0.0,1,1,2020,12,5,0.005035011670556852,29990,151.0
2021-01-18,186.0,1,1,2020,12,6,0.0,30033,0.0
2021-01-19,98.0,1,1,2020,12,7,0.006223649869504116,29886,186.0
2021-01-20,127.0,1,1,2020,12,8,0.00328231235556151,29857,98.0
2021-01-21,254.0,1,1,2020,12,9,0.004259600872044273,29815,127.0
2021-01-22,280.0,1,1,2020,12,10,0.008572392845089436,29630,254.0
2021-01-23,271.0,1,1,2020,12,11,0.009520894964126628,29409,280.0
2021-01-24,0.0,1,1,2020,12,12,0.009284001370332305,29190,271.0
2021-01-25,425.0,1,1,2020,12,13,0.0,29223,0.0
2021-01-26,222.0,1,1,2020,12,14,0.01475796930342385,28798,425.0
2021-01-27,133.0,1,1,2020,12,15,0.007748961569339244,28649,222.0
2021-01-28,338.0,1,1,2020,12,16,0.0046565366570968415,28562,133.0
2021-01-29,311.0,1,1,2020,12,17,0.011953177494076457,28277,338.0
2021-01-30,308.0,1,1,2020,12,18,0.011098818743085543,28021,311.0
2021-01-31,0.0,1,1,2020,12,19,0.011081528387421746,27794,308.0
2021-02-01,55.0,1,2,2020,12,20,0.0,27840,0.0
2021-02-02,60.0,1,2,2020,12,21,0.0019782749442486154,27802,55.0
2021-02-03,42.0,1,2,2020,12,22,0.0021593608291945584,27786,60.0
2021-02-04,250.0,1,2,2020,12,23,0.0015120967741935483,27776,42.0
2021-02-05,402.0,1,2,2020,12,24,0.00907770515613653,27540,250.0
2021-02-06,111.0,1,2,2020,12,25,0.014805539186800236,27152,402.0
2021-02-07,1.0,1,2,2020,12,26,0.0041048777781886765,27041,111.0
2021-02-08,0.0,1,2,2020,12,27,3.698224852071006e-05,27040,1.0
2021-02-09,0.0,1,2,2020,12,28,0.0,27040,0.0
2021-02-10,0.0,1,2,2020,12,29,0.0,27040,0.0
2021-02-11,0.0,1,2,2020,12,30,0.0,27040,0.0
2021-02-12,0.0,1,2,2021,1,1,0.0,27040,0.0
2021-02-13,0.0,1,2,2021,1,2,0.0,27040,0.0
2021-02-14,0.0,1,2,2021,1,3,0.0,27040,0.0
