,离职人数,疫情等级,月份,lunar_year,lunar_month,lunar_day,离职人数比,前一天在职人数,前一天离职人数
2021-01-02,0.0,1,1,2020,11,19,0.0,6832,0.0
2021-01-03,0.0,1,1,2020,11,20,0.0,6862,0.0
2021-01-04,36.0,1,1,2020,11,21,0.0,6862,0.0
2021-01-05,45.0,1,1,2020,11,22,0.0052716356714013765,6829,36.0
2021-01-06,36.0,1,1,2020,11,23,0.006624466362431915,6793,45.0
2021-01-07,89.0,1,1,2020,11,24,0.005306603773584905,6784,36.0
2021-01-08,67.0,1,1,2020,11,25,0.013251935675997618,6716,89.0
2021-01-09,31.0,1,1,2020,11,26,0.010046483730694257,6669,67.0
2021-01-10,0.0,1,1,2020,11,27,0.004663056558363418,6648,31.0
2021-01-11,68.0,1,1,2020,11,28,0.0,6667,0.0
2021-01-12,34.0,1,1,2020,11,29,0.010276560374792201,6617,68.0
2021-01-13,29.0,1,1,2020,12,1,0.005156984680721978,6593,34.0
2021-01-14,45.0,1,1,2020,12,2,0.004405286343612335,6583,29.0
2021-01-15,61.0,1,1,2020,12,3,0.0068608019515169994,6559,45.0
2021-01-16,31.0,1,1,2020,12,4,0.00933578206305479,6534,61.0
2021-01-17,0.0,1,1,2020,12,5,0.004758250191864927,6515,31.0
2021-01-18,63.0,1,1,2020,12,6,0.0,6523,0.0
2021-01-19,33.0,1,1,2020,12,7,0.009728227300802965,6476,63.0
2021-01-20,34.0,1,1,2020,12,8,0.005117866004962779,6448,33.0
2021-01-21,43.0,1,1,2020,12,9,0.005285247940307788,6433,34.0
2021-01-22,79.0,1,1,2020,12,10,0.006710362047440699,6408,43.0
2021-01-23,52.0,1,1,2020,12,11,0.012470402525651144,6335,79.0
2021-01-24,0.0,1,1,2020,12,12,0.00825658939345824,6298,52.0
2021-01-25,101.0,1,1,2020,12,13,0.0,6309,0.0
2021-01-26,24.0,1,1,2020,12,14,0.01624839124839125,6216,101.0
2021-01-27,36.0,1,1,2020,12,15,0.0038703434929850023,6201,24.0
2021-01-28,57.0,1,1,2020,12,16,0.005822416302765648,6183,36.0
2021-01-29,123.0,1,1,2020,12,17,0.009259259259259259,6156,57.0
2021-01-30,3.0,1,1,2020,12,18,0.02027027027027027,6068,123.0
2021-01-31,1.0,1,1,2020,12,19,0.0004909180166912126,6111,3.0
2021-02-01,31.0,1,2,2020,12,20,0.00016265452179570593,6148,1.0
2021-02-02,6.0,1,2,2020,12,21,0.005055446836268754,6132,31.0
2021-02-03,8.0,1,2,2020,12,22,0.0009759271307742355,6148,6.0
2021-02-04,23.0,1,2,2020,12,23,0.0012984905047881837,6161,8.0
2021-02-05,79.0,1,2,2020,12,24,0.003738013976921827,6153,23.0
2021-02-06,45.0,1,2,2020,12,25,0.01299555848001316,6079,79.0
2021-02-07,0.0,1,2,2020,12,26,0.007457739476300961,6034,45.0
2021-02-08,0.0,1,2,2020,12,27,0.0,6034,0.0
2021-02-09,0.0,1,2,2020,12,28,0.0,6034,0.0
2021-02-10,0.0,1,2,2020,12,29,0.0,6034,0.0
2021-02-11,0.0,1,2,2020,12,30,0.0,6034,0.0
2021-02-12,0.0,1,2,2021,1,1,0.0,6034,0.0
2021-02-13,0.0,1,2,2021,1,2,0.0,6034,0.0
2021-02-14,0.0,1,2,2021,1,3,0.0,6034,0.0
2021-02-15,0.0,1,2,2021,1,4,0.0,6034,0.0
2021-02-16,0.0,1,2,2021,1,5,0.0,6034,0.0
2021-02-17,0.0,1,2,2021,1,6,0.0,6034,0.0
2021-02-18,3.0,1,2,2021,1,7,0.0,6034,0.0
2021-02-19,11.0,1,2,2021,1,8,0.000497429945282706,6031,3.0
2021-02-20,15.0,1,2,2021,1,9,0.0018163804491413474,6056,11.0
2021-02-21,1.0,1,2,2021,1,10,0.0024719841793012527,6068,15.0
2021-02-22,23.0,1,2,2021,1,11,0.00016371971185330714,6108,1.0
2021-02-23,42.0,1,2,2021,1,12,0.003741662599642102,6147,23.0
2021-02-24,29.0,1,2,2021,1,13,0.0068314899154196486,6148,42.0
2021-02-25,79.0,1,2,2021,1,14,0.004702448516296417,6167,29.0
2021-02-26,97.0,1,2,2021,1,15,0.012779035910708508,6182,79.0
2021-02-27,50.0,1,2,2021,1,16,0.015762105947351317,6154,97.0
2021-02-28,0.0,1,2,2021,1,17,0.008128759551292473,6151,50.0
2021-03-01,26.0,1,3,2021,1,18,0.0,6197,0.0
2021-03-02,51.0,1,3,2021,1,19,0.004163330664531626,6245,26.0
2021-03-03,23.0,1,3,2021,1,20,0.00816130580892943,6249,51.0
2021-03-04,54.0,1,3,2021,1,21,0.003650793650793651,6300,23.0
2021-03-05,58.0,1,3,2021,1,22,0.00850125944584383,6352,54.0
2021-03-06,30.0,1,3,2021,1,23,0.00903990024937656,6416,58.0
2021-03-07,0.0,1,3,2021,1,24,0.00462178400862733,6491,30.0
2021-03-08,55.0,1,3,2021,1,25,0.0,6638,0.0
2021-03-09,51.0,1,3,2021,1,26,0.008221225710014948,6690,55.0
2021-03-10,45.0,1,3,2021,1,27,0.0075577949021932425,6748,51.0
2021-03-11,68.0,1,3,2021,1,28,0.006558810668998688,6861,45.0
2021-03-12,99.0,1,3,2021,1,29,0.009728183118741058,6990,68.0
2021-03-13,65.0,1,3,2021,2,1,0.014078498293515358,7032,99.0
2021-03-14,0.0,1,3,2021,2,2,0.009154929577464789,7100,65.0
2021-03-15,37.0,1,3,2021,2,3,0.0,7210,0.0
2021-03-16,95.0,1,3,2021,2,4,0.005080324042290265,7283,37.0
2021-03-17,67.0,1,3,2021,2,5,0.013101641152944422,7251,95.0
2021-03-18,99.0,1,3,2021,2,6,0.009134287661895025,7335,67.0
2021-03-19,119.0,1,3,2021,2,7,0.013310029577843507,7438,99.0
2021-03-20,65.0,1,3,2021,2,8,0.015803452855245682,7530,119.0
2021-03-21,0.0,1,3,2021,2,9,0.008513425016371971,7635,65.0
2021-03-22,59.0,1,3,2021,2,10,0.0,7804,0.0
2021-03-23,127.0,1,3,2021,2,11,0.007478767904677399,7889,59.0
