,离职人数,疫情等级,月份,lunar_year,lunar_month,lunar_day,离职人数比,前一天在职人数,前一天离职人数
2021-01-02,7.0,1,1,2020,11,19,0.0,24095,0.0
2021-01-03,7.0,1,1,2020,11,20,0.0002833778641405554,24702,7.0
2021-01-04,1041.0,1,1,2020,11,21,0.00027418723070896984,25530,7.0
2021-01-05,453.0,1,1,2020,11,22,0.04154196097210583,25059,1041.0
2021-01-06,340.0,1,1,2020,11,23,0.01796193497224425,25220,453.0
2021-01-07,624.0,1,1,2020,11,24,0.013239359838012539,25681,340.0
2021-01-08,513.0,1,1,2020,11,25,0.024093594347272096,25899,624.0
2021-01-09,419.0,1,1,2020,11,26,0.019720150688091027,26014,513.0
2021-01-10,0.0,1,1,2020,11,27,0.016014370891301026,26164,419.0
2021-01-11,561.0,1,1,2020,11,28,0.0,26625,0.0
2021-01-12,550.0,1,1,2020,11,29,0.021523941068139964,26064,561.0
2021-01-13,494.0,1,1,2020,12,1,0.020675137207728744,26602,550.0
2021-01-14,912.0,1,1,2020,12,2,0.018609907703899038,26545,494.0
2021-01-15,880.0,1,1,2020,12,3,0.035183827784421896,25921,912.0
2021-01-16,303.0,1,1,2020,12,4,0.03478948408776438,25295,880.0
2021-01-17,2.0,1,1,2020,12,5,0.01200190129129367,25246,303.0
2021-01-18,671.0,1,1,2020,12,6,7.863180656575585e-05,25435,2.0
2021-01-19,493.0,1,1,2020,12,7,0.02680675961807359,25031,671.0
2021-01-20,418.0,1,1,2020,12,8,0.020000811391942878,24649,493.0
2021-01-21,1027.0,1,1,2020,12,9,0.01711011051985264,24430,418.0
2021-01-22,521.0,1,1,2020,12,10,0.043609341825902335,23550,1027.0
2021-01-23,194.0,1,1,2020,12,11,0.02250831641249406,23147,521.0
2021-01-24,0.0,1,1,2020,12,12,0.008401905586834128,23090,194.0
2021-01-25,955.0,1,1,2020,12,13,0.0,23195,0.0
2021-01-26,944.0,1,1,2020,12,14,0.042940647482014385,22240,955.0
2021-01-27,691.0,1,1,2020,12,15,0.04417614301090365,21369,944.0
2021-01-28,1341.0,1,1,2020,12,16,0.033312442751771684,20743,691.0
2021-01-29,870.0,1,1,2020,12,17,0.06899922819655262,19435,1341.0
2021-01-30,571.0,1,1,2020,12,18,0.046804389928986445,18588,870.0
2021-01-31,0.0,1,1,2020,12,19,0.031632596532048085,18051,571.0
2021-02-01,8140.0,1,2,2020,12,20,0.0,18078,0.0
2021-02-02,681.0,1,2,2020,12,21,0.8190782853692896,9938,8140.0
2021-02-03,545.0,1,2,2020,12,22,0.07324943530171023,9297,681.0
2021-02-04,1089.0,1,2,2020,12,23,0.06227148080438757,8752,545.0
2021-02-05,846.0,1,2,2020,12,24,0.142111444603941,7663,1089.0
2021-02-06,182.0,1,2,2020,12,25,0.12410151092856095,6817,846.0
2021-02-07,0.0,1,2,2020,12,26,0.027430293896006028,6635,182.0
2021-02-08,0.0,1,2,2020,12,27,0.0,6635,0.0
2021-02-09,0.0,1,2,2020,12,28,0.0,6635,0.0
2021-02-10,0.0,1,2,2020,12,29,0.0,6635,0.0
2021-02-11,0.0,1,2,2020,12,30,0.0,6635,0.0
2021-02-12,0.0,1,2,2021,1,1,0.0,6635,0.0
2021-02-13,0.0,1,2,2021,1,2,0.0,6635,0.0
2021-02-14,0.0,1,2,2021,1,3,0.0,6635,0.0
2021-02-15,0.0,1,2,2021,1,4,0.0,6635,0.0
2021-02-16,0.0,1,2,2021,1,5,0.0,6635,0.0
2021-02-17,0.0,1,2,2021,1,6,0.0,6635,0.0
2021-02-18,218.0,1,2,2021,1,7,0.0,6635,0.0
2021-02-19,162.0,1,2,2021,1,8,0.03397226118123734,6417,218.0
2021-02-20,56.0,1,2,2021,1,9,0.025899280575539568,6255,162.0
2021-02-21,0.0,1,2,2021,1,10,0.009033715115341184,6199,56.0
2021-02-22,187.0,1,2,2021,1,11,0.0,6199,0.0
2021-02-23,168.0,1,2,2021,1,12,0.031104457751164338,6012,187.0
2021-02-24,151.0,1,2,2021,1,13,0.028747433264887063,5844,168.0
2021-02-25,577.0,1,2,2021,1,14,0.02652380115931846,5693,151.0
2021-02-26,277.0,1,2,2021,1,15,0.11278342455043003,5116,577.0
2021-02-27,35.0,1,2,2021,1,16,0.0572432320727423,4839,277.0
2021-02-28,0.0,1,2,2021,1,17,0.007285595337218984,4804,35.0
2021-03-01,1918.0,1,3,2021,1,18,0.0,4804,0.0
2021-03-02,114.0,1,3,2021,1,19,0.6645876645876646,2886,1918.0
2021-03-03,33.0,1,3,2021,1,20,0.04112554112554113,2772,114.0
2021-03-04,55.0,1,3,2021,1,21,0.012048192771084338,2739,33.0
2021-03-05,40.0,1,3,2021,1,22,0.020491803278688523,2684,55.0
2021-03-06,10.0,1,3,2021,1,23,0.015128593040847202,2644,40.0
2021-03-07,0.0,1,3,2021,1,24,0.0037965072133637054,2634,10.0
2021-03-08,37.0,1,3,2021,1,25,0.0,2634,0.0
2021-03-09,24.0,1,3,2021,1,26,0.01424720831728918,2597,37.0
2021-03-10,20.0,1,3,2021,1,27,0.009327633113097552,2573,24.0
