,离职人数,疫情等级,月份,lunar_year,lunar_month,lunar_day,前一天在职人数,IsHoliday,IsSpringFestival
2018-01-02,100.0,0,1,2017,11,16,85909,0,0
2018-01-03,185.0,0,1,2017,11,17,85810,0,0
2018-01-04,590.0,0,1,2017,11,18,85972,0,0
2018-01-05,728.0,0,1,2017,11,19,85713,0,0
2018-01-06,554.0,0,1,2017,11,20,85338,0,0
2018-01-07,0.0,0,1,2017,11,21,85047,0,0
2018-01-08,804.0,0,1,2017,11,22,85299,0,0
2018-01-09,608.0,0,1,2017,11,23,84498,0,0
2018-01-10,437.0,0,1,2017,11,24,84048,0,0
2018-01-11,675.0,0,1,2017,11,25,83793,0,0
2018-01-12,802.0,0,1,2017,11,26,83357,0,0
2018-01-13,478.0,0,1,2017,11,27,82780,0,0
2018-01-14,0.0,0,1,2017,11,28,82509,0,0
2018-01-15,1343.0,0,1,2017,11,29,82691,0,0
2018-01-16,2520.0,0,1,2017,11,30,81350,0,0
2018-01-17,1322.0,0,1,2017,12,1,78934,0,0
2018-01-18,536.0,0,1,2017,12,2,78024,0,0
2018-01-19,934.0,0,1,2017,12,3,77694,0,0
2018-01-20,683.0,0,1,2017,12,4,76919,0,0
2018-01-21,0.0,0,1,2017,12,5,76239,0,0
2018-01-22,1493.0,0,1,2017,12,6,76242,0,0
2018-01-23,1225.0,0,1,2017,12,7,74752,0,0
2018-01-24,778.0,0,1,2017,12,8,73527,0,0
2018-01-25,803.0,0,1,2017,12,9,72754,0,0
2018-01-26,1226.0,0,1,2017,12,10,71953,0,0
2018-01-27,579.0,0,1,2017,12,11,70728,0,0
2018-01-28,0.0,0,1,2017,12,12,70149,0,0
2018-01-29,1026.0,0,1,2017,12,13,70149,0,0
2018-01-30,599.0,0,1,2017,12,14,69123,0,0
2018-01-31,382.0,0,1,2017,12,15,68528,0,0
2018-02-01,225.0,0,2,2017,12,16,68148,0,0
2018-02-02,108.0,0,2,2017,12,17,68058,0,0
2018-02-03,111.0,0,2,2017,12,18,68009,0,0
2018-02-04,0.0,0,2,2017,12,19,67984,0,0
2018-02-05,889.0,0,2,2017,12,20,68049,0,0
2018-02-06,285.0,0,2,2017,12,21,67161,0,0
2018-02-07,144.0,0,2,2017,12,22,66922,0,0
2018-02-08,446.0,0,2,2017,12,23,66825,0,0
2018-02-09,456.0,0,2,2017,12,24,66418,0,1
2018-02-10,56.0,0,2,2017,12,25,65962,0,1
2018-02-11,0.0,0,2,2017,12,26,65906,0,1
2018-02-12,0.0,0,2,2017,12,27,65906,0,1
2018-02-13,0.0,0,2,2017,12,28,65906,0,1
2018-02-14,1.0,0,2,2017,12,29,65906,0,1
2018-02-15,0.0,0,2,2017,12,30,65905,1,1
2018-02-16,1.0,0,2,2018,1,1,65905,1,1
2018-02-17,0.0,0,2,2018,1,2,65904,1,1
