,离职人数,在职人数,疫情等级,月份,lunar_month,lunar_day
2018-01-01,0.0,85810,0,1,11,15
2018-01-02,4.61512051684126,85810,0,1,11,16
2018-01-03,5.225746673713201,85972,0,1,11,17
2018-01-04,6.381816017406098,85713,0,1,11,18
2018-01-05,6.591673732008658,85338,0,1,11,19
2018-01-06,6.318968113746434,85047,0,1,11,20
2018-01-07,0.0,85299,0,1,11,21
2018-01-08,6.690842277418563,84498,0,1,11,22
2018-01-09,6.411818267709897,84048,0,1,11,23
2018-01-10,6.0822189103764455,83793,0,1,11,24
2018-01-11,6.516193076042963,83357,0,1,11,25
2018-01-12,6.688354713946762,82780,0,1,11,26
2018-01-13,6.171700597410915,82509,0,1,11,27
2018-01-14,0.0,82691,0,1,11,28
2018-01-15,7.203405521083095,81350,0,1,11,29
2018-01-16,7.83241092718792,78934,0,1,11,30
2018-01-17,7.187657164114955,78024,0,1,12,1
2018-01-18,6.285998094508864,77694,0,1,12,2
2018-01-19,6.840546529288687,76919,0,1,12,3
2018-01-20,6.52795791762255,76239,0,1,12,4
2018-01-21,0.0,76242,0,1,12,5
2018-01-22,7.309212365692763,74752,0,1,12,6
2018-01-23,7.111512116496156,73527,0,1,12,7
2018-01-24,6.658011045870748,72754,0,1,12,8
2018-01-25,6.689599269178967,71953,0,1,12,9
2018-01-26,7.112327444710911,70728,0,1,12,10
2018-01-27,6.363028103540465,70149,0,1,12,11
2018-01-28,0.0,70149,0,1,12,12
2018-01-29,6.934397209928558,69123,0,1,12,13
2018-01-30,6.396929655216146,68528,0,1,12,14
2018-01-31,5.948034989180646,68148,0,1,12,15
2018-02-01,5.420534999272285,68058,0,2,12,16
2018-02-02,4.691347882229144,68009,0,2,12,17
2018-02-03,4.718498871295094,67984,0,2,12,18
2018-02-04,0.0,68049,0,2,12,19
2018-02-05,6.7912214627261855,67161,0,2,12,20
2018-02-06,5.655991810819852,66922,0,2,12,21
2018-02-07,4.976733742420574,66825,0,2,12,22
2018-02-08,6.102558594613568,66418,0,2,12,23
2018-02-09,6.124683390894204,65962,0,2,12,24
2018-02-10,4.04305126783455,65906,0,2,12,25
